CWNS_NUM,FBI,LANDFILL,LAND_APP,MHI
08000134001,0,0,1,0
08000137001,0,0,1,0
08000138001,0,1,0,0
08000139001,0,1,0,0
08000147001,0,1,0,0
08000148001,0,1,0,0
08000178001,0,0,1,0
08000179001,0,0,1,0
08000186001,0,0,1,0
08000190001,0,1,0,0
08000191001,0,1,0,0
08000192001,0,1,0,0
08000196001,0,0,1,0
08000197001,0,1,0,0
08000198001,0,0,1,0
08000199001,0,0,1,0
08000212001,0,0,1,0
08000214001,0,1,0,0
08000214002,0,1,0,0
08000215001,0,1,0,0
08000216001,0,0,1,0
08000220001,0,0,1,0
08000226001,0,1,0,0
08000236001,0,0,1,0
08000242001,0,1,0,0
08000247001,0,1,0,0
08000257001,0,0,1,0
08000258001,0,0,1,0
08000260001,0,1,0,0
08000266001,0,0,1,0
08000268001,0,0,1,0
08000271001,0,0,1,0
08000272001,0,0,1,0
08000273001,0,0,1,0
08000275001,0,0,1,0
08000278001,0,0,1,0
08000279001,0,0,1,0
08000284001,0,0,1,0
08000290001,0,1,0,0
08000291001,0,1,0,0
08000300001,0,0,1,0
08000302001,0,0,1,0
08000304001,0,0,1,0
08000309001,0,0,1,0
08000311001,0,1,0,0
08000312001,0,0,1,0
08000314001,0,0,1,0
08000328007,0,0,1,0
08000364001,0,1,0,0
08008328006,0,1,0,0
08209000141,0,0,1,0
09000020001,0,1,0,0
09000060001,0,1,0,0
09000140001,0,1,0,0
09000150001,0,0,0,1
09000150002,0,0,0,1
09000170002,0,1,0,0
09000230001,0,1,0,0
09000250001,0,1,0,0
09000320001,0,1,0,0
09000331001,1,0,0,0
09000340001,0,1,0,0
09000370001,0,1,0,0
09000420001,0,1,0,0
09000470001,0,1,0,0
09000490001,0,0,0,1
09000510001,0,1,0,0
09000520001,0,1,0,0
09000540001,0,0,0,1
09000570001,0,1,0,0
09000580002,0,0,1,0
09000590001,0,1,0,0
09000591001,0,1,0,0
09000641001,0,0,0,1
09000641002,0,1,0,0
09000641003,0,1,0,0
09000641004,0,1,0,0
09000680001,0,0,1,0
09000690001,0,0,0,1
09000740001,0,1,0,0
09000770001,0,1,0,0
09000800001,0,1,0,0
09000840004,0,1,0,0
09000840005,0,1,0,0
09000860001,0,1,0,0
09000880001,1,0,0,0
09000900001,0,1,0,0
09000920001,0,0,1,0
09000930003,0,0,0,1
09000950001,0,0,0,1
09000960001,0,1,0,0
09000970001,0,1,0,0
09000980001,0,1,0,0
09001000001,0,1,0,0
09001010001,0,1,0,0
09001030001,1,0,0,0
09001040001,0,0,1,0
09001090001,0,1,0,0
09001100001,0,1,0,0
09001110001,0,1,0,0
09001130001,0,1,0,0
09001160001,0,1,0,0
09001180001,0,1,0,0
09001180002,0,1,0,0
09001220001,0,1,0,0
09001240001,0,1,0,0
09001260001,0,1,0,0
09001280001,0,0,0,1
09001310001,0,1,0,0
09001320001,1,0,0,0
09001330001,0,1,0,0
09001340001,0,0,0,1
09001350001,0,1,0,0
09001370002,0,1,0,0
09001380001,1,0,0,0
09001390001,0,1,0,0
09001400001,0,1,0,0
09001410001,0,0,1,0
09001430001,1,0,0,0
09001460001,0,0,0,1
09001480001,0,1,0,0
09001510001,1,0,0,0
09001560001,1,0,0,0
09001580001,0,1,0,0
09001620001,0,1,0,0
09001630001,0,0,0,1
09001650001,0,1,0,0
09002005001,0,1,0,0
10000001002,0,0,1,0
10000004001,0,1,0,0
10000008001,0,1,0,0
10000010001,0,1,0,0
10000011001,0,0,1,0
10000016001,0,1,0,0
10000018001,0,1,0,0
10000019001,0,1,0,0
10000023007,0,0,1,0
10000027001,0,0,1,0
12000001001,0,1,0,0
12000001004,0,1,0,0
12000001011,0,1,0,0
12000001019,0,0,1,0
12000001028,0,0,1,0
12000001031,0,0,1,0
12000001035,0,0,1,0
12000001039,0,1,0,0
12000005001,0,0,1,0
12000005003,0,0,1,0
12000008001,0,0,1,0
12000009001,0,0,1,0
12000012001,0,1,0,0
12000013001,0,1,0,0
12000014001,0,1,0,0
12000015001,0,1,0,0
12000016001,0,0,0,1
12000016002,0,0,1,0
12000016003,0,0,0,1
12000016004,0,0,0,1
12000016005,0,1,0,0
12000020003,0,0,1,0
12000022001,0,1,0,0
12000037001,0,1,0,0
12000037012,0,0,1,0
12000037015,0,0,1,0
12000038001,0,1,0,0
12000040001,0,1,0,0
12000044001,0,1,0,0
12000045001,0,1,0,0
12000046001,0,1,0,0
12000046004,0,1,0,0
12000047001,0,0,0,1
12000049002,0,1,0,0
12000050001,0,1,0,0
12000051001,0,1,0,0
12000052001,0,0,1,0
12000052002,0,0,1,0
12000053001,0,1,0,0
12000054001,0,0,1,0
12000056007,0,0,1,0
12000056008,0,1,0,0
12000057001,0,1,0,0
12000065001,0,0,1,0
12000065002,0,1,0,0
12000065004,0,1,0,0
12000066001,0,0,1,0
12000073001,0,0,1,0
12000073002,0,1,0,0
12000073003,0,1,0,0
12000073004,0,1,0,0
12000074001,0,1,0,0
12000075001,0,1,0,0
12000076001,0,0,1,0
12000076007,0,0,1,0
12000078001,0,1,0,0
12000080001,0,0,1,0
12000082001,0,0,1,0
12000083001,0,1,0,0
12000085001,0,1,0,0
12000086001,0,1,0,0
12000089001,0,1,0,0
12000089002,0,0,1,0
12000092001,0,1,0,0
12000092002,0,1,0,0
12000093003,0,1,0,0
12000093004,0,1,0,0
12000094001,0,1,0,0
12000096001,0,1,0,0
12000097001,0,1,0,0
12000097002,0,1,0,0
12000098001,0,1,0,0
12000099007,0,1,0,0
12000099010,0,1,0,0
12000100001,0,1,0,0
12000101002,0,0,1,0
12000102001,0,1,0,0
12000103001,0,1,0,0
12000104002,0,1,0,0
12000104005,0,1,0,0
12000106001,0,1,0,0
12000107001,0,1,0,0
12000109001,0,1,0,0
12000111001,0,1,0,0
12000113001,0,0,1,0
12000115001,0,1,0,0
12000116001,0,0,1,0
12000118001,0,1,0,0
12000124001,0,1,0,0
12000126002,0,1,0,0
12000126009,0,1,0,0
12000127001,0,1,0,0
12000128001,0,0,1,0
12000129001,0,0,1,0
12000130001,0,1,0,0
12000131001,0,1,0,0
12000132001,0,1,0,0
12000133002,0,1,0,0
12000133003,0,1,0,0
12000135001,0,1,0,0
12000136001,0,1,0,0
12000137001,0,0,1,0
12000138001,0,1,0,0
12000139001,0,1,0,0
12000140002,0,1,0,0
12000141003,0,1,0,0
12000142001,0,1,0,0
12000143001,0,1,0,0
12000145001,0,1,0,0
12000148001,0,1,0,0
12000148002,0,1,0,0
12000148003,0,1,0,0
12000148004,0,1,0,0
12000149001,0,1,0,0
12000153001,0,0,1,0
12000153003,0,0,1,0
12000153005,0,0,1,0
12000153006,0,1,0,0
12000154001,0,1,0,0
12000155001,0,1,0,0
12000157001,0,0,1,0
12000160001,0,1,0,0
12000162001,0,1,0,0
12000164001,0,0,1,0
12000170001,0,1,0,0
12000173001,0,0,1,0
12000174001,0,1,0,0
12000177002,0,1,0,0
12000178001,0,1,0,0
12000183001,0,1,0,0
12000187001,0,1,0,0
12000190001,0,0,1,0
12000192001,0,1,0,0
12000193003,0,1,0,0
12000195001,0,1,0,0
12000197001,0,1,0,0
12000208001,0,1,0,0
12000211001,0,1,0,0
12000212002,0,1,0,0
12000214001,0,1,0,0
12000216001,0,1,0,0
12000219001,0,1,0,0
12000222001,0,1,0,0
12000224001,0,1,0,0
12000225001,0,1,0,0
12000226001,0,1,0,0
12000227001,0,1,0,0
12000228001,0,1,0,0
12000233001,0,1,0,0
12000234001,0,1,0,0
12000237001,0,1,0,0
12000239001,0,1,0,0
12000240001,0,1,0,0
12000241001,0,1,0,0
12000243001,0,1,0,0
12000244001,0,1,0,0
12000245001,0,1,0,0
12000250001,0,0,1,0
12000253001,0,1,0,0
12000256001,0,0,1,0
12000258001,0,1,0,0
12000265001,0,0,1,0
12000267001,0,1,0,0
12000275001,0,1,0,0
12000279001,0,1,0,0
12000286001,0,1,0,0
12000288001,0,0,1,0
12000294001,0,1,0,0
12000298001,0,1,0,0
12000302001,0,1,0,0
12000303001,0,1,0,0
12000316001,0,1,0,0
12000319001,0,0,1,0
12000322001,0,1,0,0
12000327001,0,1,0,0
12000330001,0,1,0,0
12000332001,0,0,1,0
12000340001,0,0,1,0
12000382001,0,1,0,0
12000383001,0,1,0,0
12000385001,0,1,0,0
12000386001,0,1,0,0
12000504001,0,1,0,0
12000505001,0,1,0,0
12000506004,0,1,0,0
12000506005,0,1,0,0
12000506007,0,1,0,0
12000511001,0,0,1,0
13000003001,0,1,0,0
13000003002,0,1,0,0
13000006011,0,1,0,0
13000006016,0,0,0,1
13000012001,0,0,0,1
13000012002,0,1,0,0
13000012003,0,1,0,0
13000012004,0,0,0,1
13000016001,0,1,0,0
13000016004,0,1,0,0
13000016005,0,1,0,0
13000016010,0,1,0,0
13000022001,0,1,0,0
13000022002,0,0,0,1
13000022003,0,1,0,0
13000031002,0,0,0,1
13000031004,0,1,0,0
13000036001,0,1,0,0
13000040004,0,1,0,0
13000040005,0,1,0,0
13000040006,0,1,0,0
13000040022,0,1,0,0
13000047001,0,1,0,0
13000050001,0,1,0,0
13000051001,0,1,0,0
13000053001,0,1,0,0
