FACILITY_ID,CWNS_ID,FLOW_2022_MGD_FINAL,FACILITY_NAME,INFRASTRUCTURE_TYPE,LATITUDE,LONGITUDE,CITY,STATE_CODE,AUTHORITY_NAME,COUNTY_NAME,HUC,WATERSHED_NAME,FACILITY_TYPE
1133279,29001023003,40,Coldwater Creek WWTP,Wastewater,38.810528,-90.270361,Florissant,MO,Metropolitan St. Louis Sewer District,St. Louis,10300200,Lower Missouri,Collection: Separate Sewers
1133378,29001099001,0.032,Middletown WWTP,Wastewater,39.122185,-91.41211,Middletown,MO,City of Middletown,Montgomery,7110008,Cuivre,Treatment Plant
1133666,29002062001,0.015,Clifton Hill WWTF,Wastewater,39.436821,-92.657227,Clifton Hill,MO,City of Clifton Hill,,,,Treatment Plant
1133868,29002494001,0.374,Concordia S.E. Lagoon,Wastewater,38.955864,-93.527446,Concordia,MO,City of Concordia,Lafayette,10300104,Blackwater,Treatment Plant
1133902,29003046001,0.5,Bethany WWTP,Wastewater,40.253303,-94.064058,Bethany,MO,City of Bethany,,,,Collection: Separate Sewers
1133941,29003244001,0.021,Glen Allen WWTP,Wastewater,37.316252,-90.024449,Glenallen,MO,Village of Glen Allen,,,,Collection: Separate Sewers
1134136,29004124000,0.005,Johnson's Shut-Ins S.P.,Wastewater,37.54905,-90.846167,Middle Brook,MO,"MDNR, Division of State Parks",,,,Treatment Plant
1139622,21000182001,0.14,BUTLER STP,Wastewater,38.7881,-84.3767,Butler,KY,City of Butler,Pendleton,5100101,Licking,Treatment Plant
1139673,21000246001,3.5,HARRODSBURG STP,Wastewater,37.776316,-84.867385,Harrodsburg,KY,CITY OF HARRODSBURG,Mercer,5140102,Salt,Collection: Separate Sewers
1145786,31000215001,0.06,BEEMER WWTP,Wastewater,41.9109,-96.815,Beemer,NE,"BEEMER, VILLAGE OF",,,,Treatment Plant
1145843,31000565001,0.01,CORDOVA WWTP,Wastewater,40.7133,-97.3562,Cordova,NE,"CORDOVA      ,VILLAGEOF",,,,Treatment Plant
1102090,01000260001,0.06,DOZIER LAGOON,Wastewater,31.493464,-86.366658,Dozier,AL,"Dozier, Town of",Crenshaw,3140301,Upper Conecuh,Collection: Pump Stations
1104807,02000156001,0.05,Nenana WWTP,Wastewater,64.560838,-149.087879,Nenana,AK,"NENANA, TOWN OF",,,,Treatment Plant
1104808,02000175001,0.6,Unalaska WWTP,Wastewater,53.8805,-166.5602,Unalaska,AK,"Unalaska, City of",,,,Collection: Pump Stations
1104819,02000314001,0.01,Arctic Village WWTP,Wastewater,68.125808,-145.537434,Arctic Village,AK,"Arctic Village, Traditional Council of",,,,Treatment Plant
1133549,29001217001,0.039,East Lynne WWTP,Wastewater,38.669762,-94.220161,East Lynne,MO,City of East Lynne,Cass,10290108,South Grand,Treatment Plant
1133697,29002120001,1.6,Carl Junction WWTP,Wastewater,37.166418,-94.560527,Carl Junction,MO,City of Carl Junction,Jasper,11070207,Spring,Collection: Separate Sewers
1133837,29002417001,0.02,Rhineland WWTP,Wastewater,38.716173,-91.515254,Rhineland,MO,City of Rhineland,,,,Collection: Separate Sewers
1133896,29003040001,0.121,Billings WWTP,Wastewater,37.053627,-93.576951,Billings,MO,City of Billings,Christian,10290106,Sac,Collection: Separate Sewers
1134015,29003780001,0.06,Urich WWTP,Wastewater,38.4548,-93.9888,Urich,MO,City of Urich,,,,Treatment Plant
1134066,29004044001,0.155,La Belle NW WWTP,Wastewater,40.129889,-91.917472,La Belle,MO,City of LaBelle,Lewis,7110002,North Fabius,Collection: Separate Sewers
1134106,29004096001,0.24,Lockwood WWTP,Wastewater,37.386111,-93.969083,Lockwood,MO,City of Lockwood,Dade,10290106,Sac,Treatment Plant
1134145,29004131001,0.078,Bland WWTP,Wastewater,38.296969,-91.631468,Bland,MO,City of Bland,Gasconade,7140103,Bourbeuse,Treatment Plant
1134167,29004155001,0.023,Freistatt WWTP,Wastewater,37.026392,-93.903916,Freistatt,MO,Village of Freistatt,,,,Collection: Separate Sewers
1139482,21000017001,0.5,CATLETTSBURG,Wastewater,38.401531,-82.599903,Catlettsburg,KY,CITY OF CATLETTSBURG,Boyd,5070204,Big Sandy,Collection: Combined Sewers
1139537,21000072001,0.6,CAVELAND ENV AUTH - CAVE CITY STP,Wastewater,37.17,-85.916111,Horse Cave,KY,CEA - HORSE CAVE STP,Hart,5110001,Upper Green,Collection: Separate Sewers
1139697,21000274001,2,LEITCHFIELD STP,Wastewater,37.4636,-86.2881,Leitchfield,KY,LEITCHFIELD STP,Grayson,5110001,Upper Green,Treatment Plant
1142471,23000037001,0.302,FORT FAIRFIELD WWTF,Wastewater,46.7786,-67.8453,Fort Fairfield,ME,FORT FAIRFIELD UTILITIES DIST,Aroostook,1010004,Aroostook,Collection: Separate Sewers
1142505,23000068002,0.019,RUMFORD POINT PLANT,Wastewater,44.5406,-70.5198,Rumford,ME,RUMFORD MEXICO SEWER DISTRICT,Oxford,1040002,Lower Androscoggin,Collection: Separate Sewers
1142558,23000119001,0.277,FORT KENT WWTF,Wastewater,47.2383,-68.6122,Fort Kent,ME,Town of Fort Kent WWTF,Aroostook,1010008,St. Francis River-Saint John River,Treatment Plant
1143868,78000001003,0.02,CRUZ BAY SEWERAGE SYS,Wastewater,18.320103,-64.784317,Virgin Islands,VI,VI Waste Management Authority,St. John,21020001,St. John-St. Thomas,Treatment Plant
1130185,20000182001,2,SOUTH HUTCHINSON WWTP,Wastewater,38.02105,-97.942944,South Hutchinson,KS,"SOUTH HUTCHINSON, CITY OF",,,,Treatment Plant
1168484,22003276001,4.4,ST. CHARLES EAST BANK STP,Wastewater,29.9498,-90.3487,Destrehan,LA,ST CHARLES PAR POL JURY,,,,Treatment Plant
1168494,22003289002,0.85,GRAMERCY STP,Wastewater,30.0054,-90.2366,Gramercy,LA,TOWN OF GRAMERCY,Jefferson,8090203,Eastern Louisiana Coastal,Collection: Separate Sewers
1170419,49000064001,21,PROVO,Wastewater,40.2113,-111.6519,Provo,UT,PROVO,Utah,16020201,Utah Lake,Collection: Separate Sewers
1172747,40000530001,1.6,BLACKWELL WWT,Wastewater,36.7855,-97.2731,Blackwell,OK,"BLACKWELL, CITY OF",,,,Collection: Separate Sewers
1172878,40000801001,0.035,MANITOU WWT,Wastewater,34.5071,-98.9676,Manitou,OK,"MANITOU, TOWN OF",,,,Collection: Separate Sewers
1175243,06001096001,0.092,Geyserville WWTF,Wastewater,38.7060937,-122.8974918,Geyserville,CA,Geyserville Sanitation Zone,Sonoma,18010110,Russian,Treatment Plant
1175300,06002042001,0.95,"San Leandro, City of (WPCP)",Wastewater,37.714814,-122.193031,San Leandro,CA,"SAN LEANDRO, CITY OF",,,,Collection: Separate Sewers
1175565,06005045001,0.82,DONNER SUMMIT WWTF,Wastewater,39.3344,-120.4025,Soda Springs,CA,Donner Summit Public Utilities District,Nevada,18020125,Upper Yuba,Collection: Separate Sewers
1175573,06005054001,3,GALT WWTF,Wastewater,38.291419,-121.278248,Galt,CA,City of Galt,Sacramento,18040013,Upper Cosumnes,Collection: Separate Sewers
1221111,36007127001,0.18,Morrisville (V) STP,Wastewater,42.893333,-75.648333,Morrisville,NY,"Morrisville,Village of",,,,Collection: Separate Sewers
1221243,36008044001,1.68,Webster (T) WWTP,Wastewater,43.26009,-77.41995,Webster,NY,Webster (T),Monroe,4140101,Irondequoit-Ninemile,Collection: Interceptor Sewers
1227953,48009076001,0.39,ELDORADO STP,Wastewater,30.867417,-100.583611,Eldorado,TX,CITY OF ELDORADO,,,,Collection: Separate Sewers
1229151,55000890001,0.396,CASSVILLE STP,Wastewater,42.7025,-90.9607,Cassville,WI,"CASSVILLE, VILLAGE OF",Grant,7060003,Grant-Little Maquoketa,Treatment Plant
1230165,31000035001,0.038,ALLEN WWTP,Wastewater,42.4144,-96.8578,Allen,NE,"ROBERT R WENDTE, WWTP OPERATOR",Dixon,10170101,Lewis And Clark Lake,Treatment Plant
1231498,27000189001,1.52,LAKE CITY WWTP,Wastewater,44.4379,-92.2629,Lake City,MN,LAKE CITY,Wabasha,7040001,Rush-Vermillion,Collection: Separate Sewers
1231523,27003109001,0.212,ST CLAIR WWTP,Wastewater,44.08557565,-93.86258493,Saint Clair,MN,SAINT CLAIR,Blue Earth,7020011,Le Sueur,Treatment Plant
1232120,36004006001,0.1,Germantown (T) STP & Sewers,Wastewater,42.13612,-73.88518,Germantown,NY,"GERMANTOWN, TOWN OF",,,,Treatment Plant
1232129,36005014001,0.85,Lake Placid (V) Sewers & STP,Wastewater,44.274861,-73.973083,Lake Placid,NY,"LAKE PLACID, VILLAGE OF",Essex,2010004,Ausable,Treatment Plant
1232183,36009035001,0.073,Randolph (V) WWTP,Wastewater,42.163889,-78.976111,Randolph,NY,RANDOLPH (V),,,,Collection: Separate Sewers
1233247,29002251001,0.27,Campbell WWTP,Wastewater,36.485222,-90.058083,Campbell,MO,City of Campbell,,,,Collection: Separate Sewers
1233266,29002503001,0.4,Stockton WWTP,Wastewater,37.70683,-93.788361,Stockton,MO,City of Stockton,Cedar,10290106,Sac,Treatment Plant
1233309,29004160001,0.31,Mansfield WWTP,Wastewater,37.119167,-92.563278,Mansfield,MO,City of Mansfield,Wright,10290201,Upper Gasconade,Collection: Separate Sewers
1182936,48001131002,0.75,Bowie Park WWTP,Wastewater,26.138,-97.175,Port Isabel,TX,CAMERON CO FWSD #1,,,,Treatment Plant
1183126,48002035001,0.15,Aspermont WWTP,Wastewater,33.1502,-100.215054,Aspermont,TX,ASPERMONT,,,,Collection: Separate Sewers
1183243,48003094001,0.04,Kosse WWTP,Wastewater,31.3052,-96.5414,Kosse,TX,CITY OF KOSSE,,,,Collection: Separate Sewers
1183396,48004087001,0.95,Van Alstyne WWTP,Wastewater,33.4209,-96.5497,Van Alstyne,TX,CITY OF VAN ALSTYNE,,,,Treatment Plant
1183530,48004359001,0.64,Electra WWTP,Wastewater,34.0094,-98.8757,Electra,TX,CITY OF ELECTRA,,,,Treatment Plant
1183579,48005018001,2,Southside WWTP - Henderson,Wastewater,32.1156,-94.8098,Henderson,TX,CITY OF HENDERSON,,,,Collection: Separate Sewers
1183603,48005047001,0.2,Blossom WWTP,Wastewater,33.658997,-95.36652,Blossom,TX,CITY OF BLOSSOM,,,,Treatment Plant
1183901,48007075001,0.14,Damon WWTP,Wastewater,29.2951,-95.7311,Damon,TX,BRAZORIA COUNTY FWSD NO. 1,,,,Treatment Plant
1184064,48007410001,0.05,New Ulm WWTP,Wastewater,29.8853,-96.4776,New Ulm,TX,NEW ULM WSC,Austin,12090401,San Bernard,Treatment Plant
1184327,48007880001,0.4,Timberlake WWTP,Wastewater,29.9633,-95.6194,Houston,TX,TIMBERLAKE ID,,,,Collection: Separate Sewers
1145958,31001470001,0.78,LOUP CITY WWTP,Wastewater,41.2538,-98.9537,Loup City,NE,City of Loup City,Sherman,10210005,Mud,Treatment Plant
1145999,31001825001,50.7,MISSOURI RIVER STP,Wastewater,41.2083,-95.9292,Omaha,NE,"OMAHA      ,CITYOF",Douglas,10230006,Big Papillion-Mosquito,Treatment Plant
1146003,31001830001,0.45,ONEILL WWTP,Wastewater,42.4506,-98.6442,Oneill,NE,City of Oneill,Holt,10220001,Upper Elkhorn,Treatment Plant
1147932,27000040001,4,RED WING WWTP,Wastewater,44.5704,-92.52793498,Red Wing,MN,"RED WING      ,CITYOF",Goodhue,7040001,Rush-Vermillion,Treatment Plant
1148091,27000234001,0.099,CLINTON WWTF,Wastewater,45.4525,-96.421,Clinton,MN,CLINTON WASTEWATER TREATM,Big Stone,7020001,Upper Minnesota,Collection: Separate Sewers
1148183,27001004001,0.69,AITKIN WWTP,Wastewater,46.53649,-93.71283,Aitkin,MN,"AITKIN, CITY OF",Aitkin,7010104,Elk-Nokasippi,Collection: Separate Sewers
1148289,27003406001,0.09,KIESTER WWTP,Wastewater,43.52694547,-93.71511972,Kiester,MN,"KIESTER, CITY OF",Faribault,7020009,Blue Earth,Collection: Pump Stations
1148389,27007016001,0.02,PERLEY WWTP,Wastewater,47.1774,-96.8066,Perley,MN,"PERLEY, CITY OF",,,,Treatment Plant
